timestamp,user_id,network_type,throughput_mbps,latency_ms
2024-04-27T00:00:01Z,user_1,5G,523.45,18
2024-04-27T00:00:02Z,user_2,5G,732.88,12
2024-04-27T00:00:03Z,user_3,5G,145.23,35
2024-04-27T00:00:04Z,user_4,5G,250.67,27
2024-04-27T00:00:05Z,user_5,5G,987.34,8
2024-04-27T00:00:06Z,user_6,5G,675.19,15
2024-04-27T00:00:07Z,user_7,5G,420.56,40
2024-04-27T00:00:08Z,user_8,5G,310.45,22
2024-04-27T00:00:09Z,user_9,5G,860.12,10
2024-04-27T00:00:10Z,user_10,5G,195.67,50
2024-04-27T00:00:11Z,user_11,5G,300.23,18
2024-04-27T00:00:12Z,user_12,5G,480.89,16
2024-04-27T00:00:13Z,user_13,5G,710.44,14
2024-04-27T00:00:14Z,user_14,5G,510.78,19
2024-04-27T00:00:15Z,user_15,5G,610.12,12
2024-04-27T00:00:16Z,user_16,5G,390.56,30
2024-04-27T00:00:17Z,user_17,5G,450.89,25
2024-04-27T00:00:18Z,user_18,5G,775.34,12
2024-04-27T00:00:19Z,user_19,5G,520.67,20
2024-04-27T00:00:20Z,user_20,5G,605.45,15
2024-04-27T00:00:21Z,user_21,5G,320.12,28
2024-04-27T00:00:22Z,user_22,5G,290.78,35
2024-04-27T00:00:23Z,user_23,5G,680.45,11
2024-04-27T00:00:24Z,user_24,5G,900.23,9
2024-04-27T00:00:25Z,user_25,5G,150.34,45
2024-04-27T00:00:26Z,user_26,5G,433.56,22
2024-04-27T00:00:27Z,user_27,5G,700.89,13
2024-04-27T00:00:28Z,user_28,5G,560.12,18
2024-04-27T00:00:29Z,user_29,5G,400.78,25
2024-04-27T00:00:30Z,user_30,5G,850.45,10
2024-04-27T00:00:31Z,user_31,5G,620.23,14
2024-04-27T00:00:32Z,user_32,5G,750.34,11
2024-04-27T00:00:33Z,user_33,5G,340.56,30
2024-04-27T00:00:34Z,user_34,5G,480.23,20
2024-04-27T00:00:35Z,user_35,5G,520.67,18
2024-04-27T00:00:36Z,user_36,5G,680.12,15
2024-04-27T00:00:37Z,user_37,5G,750.89,12
