timestamp,user_id,network_type,throughput_mbps,latency_ms
2024-04-27T00:00:01Z,user_001,5G,215.3,8.2
2024-04-27T00:00:02Z,user_002,5G,120.5,12.7
2024-04-27T00:00:03Z,user_003,5G,310.7,5.4
2024-04-27T00:00:04Z,user_004,5G,180.2,9.5
2024-04-27T00:00:05Z,user_005,5G,95.6,15.1
2024-04-27T00:00:06Z,user_006,5G,250.8,6.9
2024-04-27T00:00:07Z,user_007,5G,175.4,10.3
2024-04-27T00:00:08Z,user_008,5G,320.1,4.8
2024-04-27T00:00:09Z,user_009,5G,140.9,11.0
2024-04-27T00:00:10Z,user_010,5G,210.7,7.6
2024-04-27T00:00:11Z,user_011,5G,190.3,8.9
2024-04-27T00:00:12Z,user_012,5G,270.6,5.7
2024-04-27T00:00:13Z,user_013,5G,160.1,10.8
2024-04-27T00:00:14Z,user_014,5G,130.2,12.3
2024-04-27T00:00:15Z,user_015,5G,230.9,7.1
2024-04-27T00:00:16Z,user_016,5G,200.5,9.2
2024-04-27T00:00:17Z,user_017,5G,280.4,6.0
2024-04-27T00:00:18Z,user_018,5G,110.7,13.5
2024-04-27T00:00:19Z,user_019,5G,165.9,10.5
2024-04-27T00:00:20Z,user_020,5G,290.8,5.3
2024-04-27T00:00:21Z,user_021,5G,175.0,9.9
2024-04-27T00:00:22Z,user_022,5G,215.6,7.7
2024-04-27T00:00:23Z,user_023,5G,125.8,12.1
2024-04-27T00:00:24Z,user_024,5G,305.2,4.9
2024-04-27T00:00:25Z,user_025,5G,185.7,8.8
2024-04-27T00:00:26Z,user_026,5G,95.4,14.7
2024-04-27T00:00:27Z,user_027,5G,240.3,6.8
2024-04-27T00:00:28Z,user_028,5G,170.6,10.1
2024-04-27T00:00:29Z,user_029,5G,325.4,4.6
2024-04-27T00:00:30Z,user_030,5G,145.2,11.3
2024-04-27T00:00:31Z,user_031,5G,205.8,7.4
2024-04-27T00:00:32Z,user_032,5G,195.1,8.4
2024-04-27T00:00:33Z,user_033,5G,275.3,6.2
2024-04-27T00:00:34Z,user_034,5G,155.5,10.9
2024-04-27T00:00:35Z,user_035,5G,135.9,12.0
2024-04-27T00:00:36Z,user_036,5G,235.0,7.0
2024-04-27T00:00:37Z,user_037,5G,205.3,9.0
2024-04-27T00:00:38Z,user_038,5G,285.7,5.8
2024-04-27T00:00:39Z,user_039,5G,115.0,13.0
2024-04-27T00:00:40Z,user_040,5G,170.9,10.2
2024-04-27T00:00:41Z,user_041,5G,295.2,5.1
2024-04-27T00:00:42Z,user_042,5G,180.0,9.4
2024-04-27T00:00:43Z,user_043,5G,220.1,7.8
2024-04-27T00:00:44Z,user_044,5G,130.7,12.4
2024-04-27T00:00:45Z,user_045,5G,310.9,4.7
2024-04-27T00:00:46Z,user_046,5G,190.5,8.7
2024-04-27T00:00:47Z,user_047,5G,100.3,15.3
2024-04-27T00:00:48Z,user_048,5G,245.7,6.7
2024-04-27T00:00:49Z,user_049,5G,165.2,10.6
2024-04-27T00:00:50Z,user_050,5G,330.1,4.4
2024-04-27T00:00:51Z,user_051,5G,150.6,11.1
2024-04-27T00:00:52Z,user_052,5G,210.9,7.5
2024-04-27T00:00:53Z,user_053,5G,200.0,8.3
